word,meaning
honesty,正直（であること）、誠実さ
hope,希望、望
horizon,（人の）視野
horse,ウマ
hospital,病院、総合病院
host,（客を接待する）主人（役）
hot dog,ホットドッグ
hot spring,温泉
hotel,ホテル
hour,１時間
house,家、住宅
hula,フラ（ダンス）〈ハワイの民族舞踊〉
human,人、人間
humor,ユーモア
hundred,100
hunter,ハンター、猟師
hunting,さがし求めること
husband,夫
hymn,賛美歌
ice,氷
idea,考え、思いつき、アイディア
image,像、イメージ画像、絵
importance,重要性、重大さ、大切さ
India,インド
"industrial arts 
and homemaking",（教科の）技術・家庭科
industry,工業
information,情報
injury,けが、不調
ink,インク
insect,昆虫
insult,屈辱
interest,興味、関心
Internet,インターネット
interpreter,通訳者
interview,インタビュー、会見、面接
interviewer,インタビューする人、インタビュワー、面接官
island,島
jacket,ジャケット、上着
January,１月
Japan,日本
Japanese,日本、日本人、日本語、（教科の日本語にとっての）国語
Japanese-Brazilian,日系ブラジル人
job,仕事、職務
joke,冗談、しゃれ
Jones,ジョーンズ(姓）
journalist,記者、ジャーナリスト
joy,喜び
Judy,ジュディ〔女性名〕
juice,ジュース
July,７月
June,６月
jungle,〔ふつうthe～で〕(熱帯地方の)密林、ジャングル
junior high school,中学校
justice,正義、正しさ、公平
kangaroo,カンガルー
karaoke,カラオケ
Kenya,ケニヤ(アフリカ東部にある共和国）
key,かぎ
keyhole,鍵穴
kid,子ども
kilogram,キログラム
kilometer,キロメートル
kind,種類　　〔a kind of ～の形で〕　一種の～、～のようなもの
king,王、国王
kitchen,台所、キッチン
kite,(空にあげる)凧
koala,コアラ
Korea,"韓国・朝鮮　　〔たとえば South Korea, North Korea の形で〕 韓国、北朝鮮"
Korean,韓国・朝鮮語、韓国人・朝鮮人
lady,婦人
lake,湖    〔たとえば Lake Towada の形で〕 十和田湖
lamp,ランプ、明かり
land,土地、陸地
landing card,入国カード
landmine,地雷
language,ことば、言語
language arts,言語技術(米国の多くの小・中学校で仮名部科目の一つ）
lap,ひざ（の上）
last,最後
laughter,笑い
law,法律
lawyer,弁護士、法律家
leader,指導者、リーダー
left,左、左側
leg,あし 《ももの付け根から下全部あるいは足首までの部分》
lemon,レモン
leopard,ヒョウ
lesson,"1. (教科書などの)課、授業、勉強、けいこ、レッスン
2. 教訓"
letter,手紙、文字、字
level,水平（面）、水位、高さ
library,図書館，図書室
life,"1. 生命、いのち（複 lives）
2. 終生、一生
3. 人生
4. 生活、暮らし　　  "
light,"1. 光、光線
2. 明かり、電灯　 "
line,"1. 線、電話線
2. （文字の）行　
3. (バス・列車・飛行機などの)路線
4. (役者の)せりふ、(文章などの)行　　　    "
lion,ライオン
lives,lifeの複数形
living room,居間、リビングルーム
locker,ロッカー
London,ロンドン
look,見ること、一見　　〔 have ［take］ a look at ～の形で〕～を見る
lot,"1. 〔a lot of ～ の形で〕 たくさんの、多数の
2. たくさん、多数、多量 〔a lot〕"
love,"1. 愛、恋愛
2. 《手紙などの結びのことば》 〔たとえば Love, Lisa の形で〕 リサより　　"
luck,運
lucky break,成功のきっかけ
lullaby,子守歌
lunch,昼食、(お昼の）弁当
machine,機械
magazine,雑誌
magic,手品
maker,製作者
man,男の人、(一般的に)人
manga,（日本の）マンガ
manner,（mannersで）行儀、マナー
map,地図
March,３月
market,市場
marsh,沼
mask,(顔を保護する）防具、マスク
master,主人、住職、和尚(ときに固有名詞のように使い、大文字で書き始めてMasterで「和尚さま」
match,試合、勝負
math,数学 〔mathematicsを短くした形〕
matter,問題、困ったこと、事情
May,５月
mayor,村長
meal,食事
meaning,意味
meat,食用肉、肉
meat loaf,ミートローフ
medal,メダル
medicine,薬　〔take medicineの形で〕 薬を飲む
meeting,集会、会議
member,一員、メンバー
memorial,記念日、記念碑、記念館
memory,記憶、記憶力、思い出
men,〔manの複数形〕
menu,献立表、メニュー
message,伝言，メッセージ
meter,メートル　
mid-1900s,1900年代半ば
middle,真ん中、中間
milk,牛乳、ミルク
million,百万
mind,"心　[keep A in mindの形で］Aを心に留めておく
　　 [make up my mindの形で］決心する"
minister,牧師
minute,"1. (時間の)分
2. ちょっとの間　 〔Just a minute. の形で〕ちょっと待ってください"
mirror,鏡
mistake,まちがい　［by mistakeの形で］誤って、間違って
mom,ママ、お母さん  《家庭内で子どもが母親を呼ぶのに使う。呼びかけの時にはしばしば大文字で始めて Mom とする。》
moment,ちょっとの時間、瞬間
mommy,お母ちゃん
Monday,月曜日
money,お金
Mongolia,モンゴル(中国の北方に位置する国）
monkey,サル
month,(暦の)月
moon,月
morning,朝、午前
mother,母、お母さん
motto,標語、モットー
mountain,山
mouth,口
movement,動き、(社会的)運動
movie,映画
Mr. (Mr.),《男性の姓・姓名の前につけて》 ～さん、先生
Mrs. (Mrs.),《結婚している女性の姓・姓名の前につけて》 ～さん、先生
Ms. (Ms.),《女性の姓・姓名の前につけて》 ～さん、先生
Mt.,〔mountain （山）の略〕 ～山　  〔例えば Mt. Iwaki の形で〕 岩木山
much,多量、たくさん
museum,博物館、美術館
music,音楽
music club,(学校の）音楽部
musician,音楽家、ミュージシャン
Myanmar,ミャンマー
mystery,謎
name,名前
nation,国家
national holiday,国民の休日
national park,国立公園
natural gas,天然ガス
nature,自然、自然界
neck,首
need,必要　〔in needの形で〕必要で、困って
neighbor,隣人
nest,巣
New Year's Day,元日
New Year's Eve,大晦日
New York ,ニューヨーク
New York City,ニューヨーク市
news,ニュース、知らせ
newspaper,新聞、新聞紙
night,夜
nine,９
nineteen,19
nineteenth,19番目の、１９日
ninety,90
ninth,9番め、（月の）9日
No.,…番、第…号
Nobel Peace Prize,ノーベル平和賞
non-white,白人以外の人
noodle,麺、ヌードル
noon,正午
north,北、北方、北部
North Carolina,ノース・カロライナ(アメリカ合衆国の州名）
nose,鼻
note,メモ、覚え書き
notebook,ノート
November,11月
now,今
number,～番、番号、数、数字
nun,尼僧
nurse,看護師、保健の先生
nurse's office,保健室
nursery,託児所
nursing,看護、介護
nursing home,高齢者福祉施設、療養所
ocean,大洋、海
October,10月
octopus,タコ
office,事務所､役所
officer,係員、役人、警察官
official,係官、職員
oil,油、石油
Olympics,(theをつけて）オリンピック
one,１つ､１人
opinion,意見、考え、判断
orange,オレンジ（色）
orchestra,オーケストラ
order,"1. 命令
2. 注文
3. 順序"
origin,（～の)起源、由来
outlook,見方、考え方
owl,フクロウ
oxygen,酸素
P.E. (PE),体育 　〔physical educationの略〕
pack,1パック、１箱
page,ページ
pain,"1. 痛み
2. 苦心　"
painter,画家
painting,絵、絵画
pair,１組、対
palace,御殿
palm,手のひら
pamphlet,パンフレット
panda,パンダ
panel,パネル
paper,紙、折り紙、レポート、論文
paper crane,折り鶴
Paralympics,(theをつけて）パラリンピック
pardon,許し、許すこと　〔I beg your pardon.（最後を上げて発音して）/Beg your pardon?/Pardon?の形で〕 すみませんが、もう一度言ってください。
parent,親
Paris,パリ
park,公園、遊園地
part,"1.一部
2.役割、役目"
particular,項目、細部
partner,仲間、パートナー
party,パーティー
passion,熱中（しているもの）、情熱
passport,パスポート
past,過去
pastry shop,洋菓子店
patient,患者、病人
peace,平和
peach,（果物の）モモ
pen,ペン
pencil,えんぴつ
people,"1. 《複数扱いで、２人以上を表して》 人、人々、人間
2.国民　"
percent,パーセント
performance,上演、演奏、演技
performer,上演者、噺家、芸人
period,時代
person,人 〔２人以上を表すときは people がふつう〕
Peru,ペルー（南米の国の名前）
pet,ペット
pharmacist,薬剤師、薬局
Philippines,(the ～で）フィリピン共和国
phone,電話　　〔 telephone の略〕
phone call,電話をかけること
photo,写真　  〔photograph の略〕
photograph,写真
photographer,写真家、カメラマン
phrase,句、言い回し、フレーズ
piano,ピアノ
picnic,ピクニック、行楽
picture,絵、写真
pie,パイ（肉や果物などを練り粉で包んで焼いた菓子、料理）
piece,〔a piece of ～の形で〕１つの～、ひとかけらの～
pilot,パイロット
pink,ピンク色（の）、もも色（の）
pizza,ピザ
place,"1.場所､所
2.順位"
plan,"1. 事業
2. 計画、案、考え、予定　　  "
plane,飛行機
plant,植物
plastic,プラスチック
plastic bag,ビニール袋
plate,取り皿
play,劇
player,（楽器を）演奏する人、演奏家、（スポーツを）する人、選手
pleasure,喜び
pocket,ポケット
poem,詩
point,"1. 箇所、点、地点
2. 言おうとしていること、要点、考え
3. 特徴、特質　   "
poison,毒薬、毒
polar bear,ホッキョクグマ
police,〔しばしばthe policeで、複数扱い〕警察   〔（一人の）警官をさす場合は a police officer〕
police officer,(一人の）警官
politician,政治家
pollution,汚染
polo,（馬に乗って行う競技）ポロ
pond,池
poodle,プードル（犬の１品種）
pool,（水泳用の）プール
popular culture,大衆文化、ポップカルチャー
population,人口
Portuguese,ポルトガル語
post,郵便、郵便物
post office,郵便局
postcard,郵便はがき、絵はがき
poster,ポスター
pot,（深い）なべ
pouch,袋
pound,ポンド(イギリスの通貨）
power,力、能力
prefecture,県
present,"1.「現在」
2.プレゼント、贈り物"
presentation,（意見・提案などの）発表、プレゼンテーション
pressure,圧力、せまられること、プレッシャー
price,値段
prince,王子
principal,校長
principal's office,校長室
print,印刷、版画
prize,賞、賞品
problem,(困難を引き起こす)問題、障害、課題
product,製品、生産物
professor,教授
program,"1. 番組（表）、プログラム
2. 計画、予定（表）　"
programmer,プログラマー
promise,約束
prop,小道具
public hall,公会堂
purple,紫色（の）
purpose,目的
question,"1. 質問、問い
2. 問題、論点　　"
quiz,簡単な口頭（筆記）のテスト、質問、（ラジオ・テレビの）クイズ
rabbit,ウサギ
race,競争、競走
racket,ラケット
radio,ラジオ
radish,ハツカダイコン
rain,雨
rain forest,熱帯雨林
rainbow,虹
ramp,スロープ
reading,読むこと
reality,現実、実際
reason,理由
recipe,（料理などの）作り方、レシピ
red,赤い、赤色（の）、赤
refugee,難民、避難者
relay,リレー競走
report,レポート、報告
reporter,リポーター
research,研究、調査
resource,〔通常は複数形で〕資源、財源
respect,尊敬、尊重
rest,休み
restaurant,レストラン、食堂、料理屋
restroom,（デパート・劇場などの）洗面所、トイレ
result,結果
return,再び巡ってくること
reuse,再利用
rhythm,リズム
rice,ご飯、米
rice ball,おにぎり
rice cake,もち
right,"1.（利益などを得る）権利、法的権利
2. 右、右側"
rise,上昇、増加、昇進
river,川　　　〔たとえば the Mabechi River の形で馬淵川〕　
road,道路
robot,ロボット
rock,"1. ロック（音楽）
2. 岩、岩石   "
roll,巻いたもの、－巻
Roman,古代ローマ人、現代のローマ市民
Rome,ローマ〔イタリアの首都、古代ローマ帝国の首都〕
roof,屋上、屋根
room,部屋
rope,綱、縄、ロープ
rule,決まり、規則
ruler,ものさし、定規
Russia,ロシア
sadness,悲しみ
salad,サラダ
sale,安売り、バーゲンセール
salt,塩
sandwich,サンドイッチ
Saturday,土曜日
scene,（劇・映画・小説の）場面
scenery,風景、景色
schedule,予定（表）
school,学校　　〔たとえばgo to school の形で〕 学校へ行く、学校に通っている
schoolyard,校庭、運動場
science,理科、科学、自然科学
scientist,科学者
Scotland,スコットランド
scrambled egg,スクランブルエッグ
sculpture,彫刻
sea,海   〔たとえば go to the sea の形で (海水浴などの目的で）海岸へ行く
sea level rise,海面上昇
seal,アザラシ
season,季節
seat,席
second,"1.（時間の）秒
2.２番め､（月の）２日
3.少しの間"
section,部分、部門、〔会社、官庁などの〕課
seed,種
sense,意味、感覚
September,９月
serve,（テニスなどの）サーブ
set,（テニスなどの）セット
seven,7、７つの
seventeen,17
seventeenth,17の番目の、１７日
seventh,７番め、（月の）７日
seventy,70、７０の
shade,陰
shampoo,シャンプー
shape,形、姿
shelf,棚
ship,船
shirt,シャツ
shock,（精神的な）ショック
shoe,くつ　　〔たとえば a pair of shoes の形で〕　くつ１足
shop,(ものを売る)店、小売店
shopping,買い物
short,〔in short の形で）手短に言うと
shoulder,肩
show,ショー
shower,シャワー
shrine,神社
shyness,内気、はにかみ
sickness,病気
side,"1.面、局面、味方
2.横、脇　〔side by side で〕並んで"
sightseeing,観光、見物
sign,"1. 標識、看板
2. 身ぶり、合図  "
singer,歌う人、歌手
singing,歌うこと、歌唱
sister,姉、妹　   
site,（重大なできごとが起こった）場所、遺跡
situation,状況、状態
six,6
sixteen,16
sixth,6番め、（月の）6日
sixty,60
size,大きさ、サイズ
skill,技術、技能
skin,皮膚、肌
sky,空、大空
slump,不振、不調
smell,におい
smile,ほほえみ
smog,スモッグ
smoke,煙
snack,（正規の食事の間の）軽食、おやつ
snake,へび
sneaker,スニーカー
snow,雪
soccer,サッカー
social studies,(教科の）社会科
sock,ソックス、（短い）くつ下　　〔a pair of socks の形で〕　くつ下１足
sofa,ソファー
softball,ソフトボール
solar cooker,ソーラークッカー
soldier,（陸軍の）兵士、軍人
son,息子
song,歌
sound,音、響き
soup,スープ
south,南
South Africa,南アフリカ共和国
southwest,南西
soybean,大豆
space,"1. 宇宙、宇宙空間
2. 空間、場所、スペース　　"
Spain,スペイン
Spanish,スペイン語
speaker,話す人
speech,演説、スピーチ
spirit,"1. 気力、勇気　〔fighting spirit の形で〕闘志
2. 心、精神、霊"
spoon,スプーン
sport,スポーツ、運動
sports day,運動会
spring,"1. 春
2. 泉　〔hot spring の形で〕　温泉    　　"
sprint,短距離走
square,四角形
stable master,（相撲部屋の）親方
stadium,スタジアム、競技場
staff,〔集合的に〕職員、社員
stage,舞台、ステージ
stair,階段
stairs,〔stairsで〕階段
stand,スタンド、台
star,"1. 星
2. (映画・スポーツなどの)スター　　 　"
starvation,飢餓、ききん
station,駅
stationery,文房具
statue,像、彫刻
Statue of Liberty,自由の女神像
stay,滞在
step,"1. （階段の）踏み段
2. 段階"
stew,シチュー
stomach,おなか、胃
stomachache,腹痛
stop,駅、停留所
store,店
story,話、物語
storytelling,物語を語ること  　〔comic storytellingで〕話芸
stream,小川、川
street,通り
stringed instrument,弦楽器
stroller,ベビーカー
struggle,もがき、苦闘
student,学生、生徒
stuff,もの
style,やり方、作風、型
subject,"1. (主）題、トピック、テーマ
2.教科　　"
suburb,郊外
subway,（アメリカ合衆国の）地下鉄
success,成功
sugar,砂糖
summer,夏
summer class,（勉強が遅れている生徒のための）夏の補習授業
sumo stable,相撲部屋
sumo wrestler,力士
sun,"1. 太陽
2. 日光、陽光　"
sun flower,ひまわり
Sunday,日曜日（複数形で毎週日曜日）
sunlight,日光、陽光
sunset,日の入り
supermarket,スーパーマーケット
support,支持、支援
survival,生き残ること
swimming,水泳
swimming pool,水泳プール
